id_centre_desservi,annee,production,distribution,cons_pop_branchee,cons_bf,cons_administrative,cons_industrielle,cons_autres,nbre_abonnes_particuliers,nbre_bf,abon_administratifs,abon_industrielle,autres_abonnes,taux_branchement,rend_distribution,rend_adduction,organisme_distributeur,dot_pop_branchee,dot_bf,dot_administrative,dot_industrielle,dot_globale_nette,dot_globale_brute,dr,kp,regie,cons_totale_calc,production_implied,lib_centre_uniformise,milieu,code_commune,lib_commune,lib_province,id_province,code_region_12,libelle_region,srm,id_dr_admin,type_centre,sa_centre,population_2024,menages_2024,mappable_on_map,id_dr,dr_volume_produit_traite_total,dr_debit_exploitable_total,dr_taux_utilisation_mean,dr_n_installations_actives
01.227.03.05.3,2018,275366.972620129,270394.0,81943.0,36830.0,33881.0,2034.0,59961.0,616.0,85.0,21.0,2.0,,0.176400388580034,0.79383788101807,0.981940562541649,ONEE,76.9495202681047,7.40762826477759,5.612415487445,0.336933771183352,35.5567832107843,45.6147652626562,DR9,1.5,,214649.0,275366.97262012865,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,130017891.0,16341.84,13.789325980392157,136.0
01.227.03.05.3,2019,278039.302970646,274246.0,68549.0,80892.0,30198.0,1195.0,60502.0,666.0,94.0,22.0,2.0,,0.18661924640812,0.879998249746578,0.986356954106424,ONEE,60.4210355413656,16.3589397674373,4.96731444318052,0.196567347493235,39.6977216524079,45.7351031663665,DR9,1.5,,241336.0,278039.3029706464,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,136792656.0,16341.84,13.635183823529411,136.0
01.227.03.05.3,2020,301629.851029105,298716.0,89363.0,81100.0,44409.0,908.0,0.0,950.0,100.0,23.0,2.0,0.0,0.260419718100557,0.72235836044939,0.990339646360718,ONEE,56.0502075688561,17.9113730821284,7.25377939545136,0.148312992660718,35.2455699959579,49.2683104426577,DR9,1.5,,215780.0,301629.8510291051,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,131950405.0,16341.84,12.636219362745098,136.0
01.227.03.05.3,2021,314634.539035469,309308.0,99358.0,84298.0,38129.0,707.0,0.0,1058.0,105.0,26.0,2.0,0.0,0.283665014194867,0.719321841012842,0.983070711016667,ONEE,56.8120280539438,19.0872928010059,6.18441525310239,0.114673387289029,36.0875690024196,51.0328265195467,DR9,1.5,,222492.0,314634.53903546924,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,139331058.0,17106.36,10.77263986013986,139.0
01.227.03.05.3,2022,379655.549251865,369687.0,98157.0,98527.0,30057.0,647.0,0.0,1097.0,107.0,31.0,2.0,0.0,0.287604285875632,0.6150824886999,0.973743175171524,ONEE,54.9691508150473,22.2754797552882,4.8410407273284,0.104207118161542,36.623567518573,61.1480845155708,DR9,1.5,,227388.0,379655.5492518651,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,136328721.0,19026.36,12.922317880794703,147.0
01.227.03.05.3,2023,413082.288530094,376635.0,97428.0,74891.0,24819.0,702.0,0.0,1123.0,110.0,31.0,3.0,0.0,0.287827779259675,0.525283099021599,0.911767486667638,ONEE,54.1369847381845,16.8185125232066,3.96942190274181,0.112274232472088,31.6415016414215,66.0662348896438,DR9,1.5,,197840.0,413082.28853009414,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,1.227,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,DR9,145098537.0,19206.36,8.774057734204794,149.0
01.405.07.15.3,2004,,,,,,,,,,,,,,,,,,,,,,,DR9,,,,,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,
01.405.07.15.3,2012,271291.850082281,144997.922760158,64509.0,2860.0,9024.0,0.0,,834.0,11.0,17.0,3.0,,0.78914898672451,0.526855823489018,0.534472092383833,ONEE,49.9831441897051,8.29378181614926,5.51774152223213,0.0,46.7106414126639,165.881904459461,DR9,1.5,,76393.0,271291.8500822813,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,114062951.0,16341.84,0.0,136.0
01.405.07.15.3,2013,177971.056247306,108814.171494926,62496.0,2564.0,6212.0,0.0,,799.0,8.0,19.0,0.0,,0.746246459507745,0.654988215421216,0.611414989545941,ONEE,51.6227328358464,6.22840671461153,3.82915107133683,0.0,43.9329129356598,109.703486911835,DR9,1.5,,71272.0,177971.05624730492,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,116481140.0,16341.84,0.0,136.0
01.405.07.15.3,2014,207938.66019843,119501.657460135,70215.0,4388.0,4706.0,1051.0,,841.0,3.0,17.0,0.0,,0.774954866857229,0.672459292263857,0.574696679040335,ONEE,56.3032328678048,12.116490211142,2.92436626276835,0.653104322602962,49.9366920688621,129.215640163524,DR9,1.5,,80360.0,207938.66019843105,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,119460376.0,16341.84,0.9508884803921568,136.0
