id_centre_desservi,annee,distribution,production,cons_pop_branchee,cons_bf,cons_administrative,cons_industrielle,cons_autres,dot_pop_branchee,dot_bf,dot_administrative,dot_industrielle,dot_globale_nette,dot_globale_brute,rend_distribution,rend_adduction,taux_branchement,nbre_abonnes_particuliers,nbre_bf,abon_administratifs,abon_industrielle,autres_abonnes,dr,kp,regie,organisme_distributeur,consommation_totale,lib_centre_uniformise,milieu,code_commune,lib_commune,lib_province,code_region_12,libelle_region,srm,id_dr_admin,type_centre,sa_centre,population_2024,menages_2024,mappable,systeme_aep,n_installations_centre,capacite_equipee_centre,capacite_exploitable_centre,population_interp,pop_multi_ancre,dr_volume_produit_traite,dr_debit_exploitable,dr_n_installations
01.227.03.05.3,2018,270394.0,275366.972620129,81943.0,36830.0,33881.0,2034.0,59961.0,76.9495202681047,7.40762826477759,5.612415487445,0.336933771183352,35.5567832107843,45.6147652626562,0.79383788101807,0.981940562541649,0.176400388580034,616.0,85.0,21.0,2.0,,DR9,1.5,,ONEE,214649.0,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,,,,,5701.70813674166,1,130017891.0,86493.84,136.0
01.227.03.05.3,2019,274246.0,278039.302970646,68549.0,80892.0,30198.0,1195.0,60502.0,60.4210355413656,16.3589397674373,4.96731444318052,0.196567347493235,39.6977216524079,45.7351031663665,0.879998249746578,0.986356954106424,0.18661924640812,666.0,94.0,22.0,2.0,,DR9,1.5,,ONEE,241336.0,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,,,,,5320.182396480705,1,136792656.0,88773.84,136.0
01.227.03.05.3,2020,298716.0,301629.851029105,89363.0,81100.0,44409.0,908.0,0.0,56.0502075688561,17.9113730821284,7.25377939545136,0.148312992660718,35.2455699959579,49.2683104426577,0.72235836044939,0.990339646360718,0.260419718100557,950.0,100.0,23.0,2.0,0.0,DR9,1.5,,ONEE,215780.0,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,,,,,4964.186179476767,1,131950405.0,88905.84,136.0
01.227.03.05.3,2021,309308.0,314634.539035469,99358.0,84298.0,38129.0,707.0,0.0,56.8120280539438,19.0872928010059,6.18441525310239,0.114673387289029,36.0875690024196,51.0328265195467,0.719321841012842,0.983070711016667,0.283665014194867,1058.0,105.0,26.0,2.0,0.0,DR9,1.5,,ONEE,222492.0,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,,,,,4632.011195858541,1,139331058.0,107745.84,139.0
01.227.03.05.3,2022,369687.0,379655.549251865,98157.0,98527.0,30057.0,647.0,0.0,54.9691508150473,22.2754797552882,4.8410407273284,0.104207118161542,36.623567518573,61.1480845155708,0.6150824886999,0.973743175171524,0.287604285875632,1097.0,107.0,31.0,2.0,0.0,DR9,1.5,,ONEE,227388.0,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,,,,,4322.063464755125,1,136328721.0,111057.84,147.0
01.227.03.05.3,2023,376635.0,413082.288530094,97428.0,74891.0,24819.0,702.0,0.0,54.1369847381845,16.8185125232066,3.96942190274181,0.112274232472088,31.6415016414215,66.0662348896438,0.525283099021599,0.911767486667638,0.287827779259675,1123.0,110.0,31.0,3.0,0.0,DR9,1.5,,ONEE,197840.0,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,,,,,4032.85566539066,1,145098537.0,108795.84,149.0
01.405.07.15.3,2004,,,,,,,,,,,,,,,,,,,,,,DR9,,,,,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,20782.0,1,,,
01.405.07.15.3,2012,144997.922760158,271291.850082281,64509.0,2860.0,9024.0,0.0,,49.9831441897051,8.29378181614926,5.51774152223213,0.0,46.7106414126639,165.881904459461,0.526855823489018,0.534472092383833,0.78914898672451,834.0,11.0,17.0,3.0,,DR9,1.5,,ONEE,76393.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,10870.102684878097,1,114062951.0,87012.0,136.0
01.405.07.15.3,2013,108814.171494926,177971.056247306,62496.0,2564.0,6212.0,0.0,,51.6227328358464,6.22840671461153,3.82915107133683,0.0,43.9329129356598,109.703486911835,0.654988215421216,0.611414989545941,0.746246459507745,799.0,8.0,19.0,0.0,,DR9,1.5,,ONEE,71272.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,10024.251055845454,1,116481140.0,87012.0,136.0
01.405.07.15.3,2014,119501.657460135,207938.66019843,70215.0,4388.0,4706.0,1051.0,,56.3032328678048,12.116490211142,2.92436626276835,0.653104322602962,49.9366920688621,129.215640163524,0.672459292263857,0.574696679040335,0.774954866857229,841.0,3.0,17.0,0.0,,DR9,1.5,,ONEE,80360.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,9244.21895024128,1,119460376.0,86520.0,136.0
