id_centre_desservi,annee,type_consommation,consommation,dotation
01.405.07.15.3,2017,Population branchée,122260.0,91.7956226874169
01.405.07.15.3,2018,Administrative,23247.0,14.8544450898903
01.405.07.15.3,2018,Autres,,
01.405.07.15.3,2018,Bornes Fontaines,2015.0,20.2423248365783
01.405.07.15.3,2018,Industrielle,1084.0,0.692657911878569
01.405.07.15.3,2018,Population branchée,93132.0,63.5521486334213
01.405.07.15.3,2019,Administrative,30414.0,19.5699843094644
01.405.07.15.3,2019,Autres,,
01.405.07.15.3,2019,Bornes Fontaines,5132.0,57.9237100736582
01.405.07.15.3,2019,Industrielle,792.0,0.509614900147819
01.405.07.15.3,2019,Population branchée,95318.0,65.0405999085017
01.405.07.15.3,2020,Administrative,5431.0,3.51903962733851
01.405.07.15.3,2020,Autres,0.0,
01.405.07.15.3,2020,Bornes Fontaines,520.0,7.74306352030853
01.405.07.15.3,2020,Industrielle,5570.0,3.60910527053498
01.405.07.15.3,2020,Population branchée,94524.0,64.0336260480206
01.405.07.15.3,2021,Administrative,6134.0,4.0023544287478
01.405.07.15.3,2021,Autres,0.0,
01.405.07.15.3,2021,Bornes Fontaines,786.0,22.0573584217394
01.405.07.15.3,2021,Industrielle,2556.0,1.66775642645572
01.405.07.15.3,2021,Population branchée,96599.0,64.5299619768233
01.405.07.15.3,2022,Administrative,2049.0,1.34629784453726
01.405.07.15.3,2022,Autres,0.0,
01.405.07.15.3,2022,Bornes Fontaines,951.0,41.9646962392961
01.405.07.15.3,2022,Industrielle,1159.0,0.761522304450308
01.405.07.15.3,2022,Population branchée,114978.0,76.6883208027947
01.405.07.15.3,2023,Administrative,3730.0,2.46794480526552
01.405.07.15.3,2023,Autres,0.0,
01.405.07.15.3,2023,Bornes Fontaines,2368.0,80.8804884548785
01.405.07.15.3,2023,Industrielle,8963.0,5.93034565404688
01.405.07.15.3,2023,Population branchée,110699.0,74.6905784767667
035510101,1994,Administrative,31776.0,8.91161165386174
035510101,1994,Autres,0.0,
035510101,1994,Bornes Fontaines,10950.0,5.04922338149165
035510101,1994,Industrielle,2457.0,0.689068159413969
035510101,1994,Population branchée,74928.0,53.6336013081096
035510101,1995,Administrative,24103.0,6.72064122048098
035510101,1995,Autres,0.0,
035510101,1995,Bornes Fontaines,5821.0,2.67174677946611
035510101,1995,Industrielle,2623.0,0.731371278318949
035510101,1995,Population branchée,72544.0,51.5340991786882
035510101,1996,Administrative,25326.0,7.02083550343982
035510101,1996,Autres,0.0,
035510101,1996,Bornes Fontaines,5600.0,2.73731842515482
035510101,1996,Industrielle,11360.0,3.14920205792768
035510101,1996,Population branchée,74621.0,47.7890898538223
035510101,1997,Administrative,26640.0,7.34241622977839
035510101,1997,Autres,0.0,
035510101,1997,Bornes Fontaines,5686.0,2.93134703182765
035510101,1997,Industrielle,11005.0,3.03315655438105
035510101,1997,Population branchée,80698.0,47.7924081415823
035510101,1998,Administrative,25870.0,7.08898068688799
035510101,1998,Autres,0.0,
035510101,1998,Bornes Fontaines,1419.0,0.798537247740991
035510101,1998,Industrielle,6998.0,1.91761448963441
035510101,1998,Population branchée,101348.0,54.129443800939
035510101,1999,Administrative,26201.0,7.13818527700783
035510101,1999,Autres,0.0,
035510101,1999,Bornes Fontaines,702.0,0.397927744345227
035510101,1999,Industrielle,4108.0,1.11918114262617
035510101,1999,Population branchée,106413.0,55.8187801474945
035510101,2000,Administrative,28680.0,7.76840180878248
035510101,2000,Autres,0.0,
035510101,2000,Bornes Fontaines,1075.0,0.614810068088761
035510101,2000,Industrielle,1576.0,0.426882888795021
035510101,2000,Population branchée,98730.0,50.8034596005908
035510101,2001,Administrative,33285.0,8.96362500859749
035510101,2001,Autres,0.0,
035510101,2001,Bornes Fontaines,476.0,0.287426116996969
035510101,2001,Industrielle,1253.0,0.33743194038674
035510101,2001,Population branchée,109393.0,53.1740302577903
035510101,2002,Administrative,23298.0,6.23787034857595
035510101,2002,Autres,0.0,
035510101,2002,Bornes Fontaines,361.0,0.230779967480529
035510101,2002,Industrielle,1648.0,0.441240034958072
035510101,2002,Population branchée,103852.0,47.8433370126414
035510101,2003,Administrative,30774.0,8.19189235854735
035510101,2003,Autres,0.0,
035510101,2003,Bornes Fontaines,271.0,0.168791778471999
035510101,2003,Industrielle,1546.0,0.411537843189517
035510101,2003,Population branchée,80313.0,37.3355608650458
035510101,2004,Administrative,30787.0,8.14798543329593
035510101,2004,Autres,0.0,
035510101,2004,Bornes Fontaines,130.0,0.0826139333287008
035510101,2004,Industrielle,784.0,0.207490842878618
035510101,2004,Population branchée,72926.0,33.0745824508345
035510101,2005,Administrative,27525.0,7.30120554477633
035510101,2005,Autres,0.0,
035510101,2005,Bornes Fontaines,408.0,0.264072690915814
035510101,2005,Industrielle,1021.0,0.270827642551013
035510101,2005,Population branchée,75514.0,33.9404592105891
035510101,2006,Administrative,26079.0,6.93334094022213
035510101,2006,Autres,0.0,
035510101,2006,Bornes Fontaines,0.0,0.0
035510101,2006,Industrielle,1657.0,0.440528622184442
035510101,2006,Population branchée,80095.0,35.6618886735849
035510101,2007,Administrative,25277.0,6.73537105012067
035510101,2007,Autres,0.0,
035510101,2007,Bornes Fontaines,9427.0,6.28300191789844
035510101,2007,Industrielle,1764.0,0.470039740966604
035510101,2007,Population branchée,75708.0,33.6110021581377
035510101,2008,Administrative,35112.0,9.37725962599252
035510101,2008,Autres,0.0,
035510101,2008,Bornes Fontaines,0.0,0.0
035510101,2008,Industrielle,1032.0,0.275613235760546
035510101,2008,Population branchée,77379.0,34.3992477951047
035510101,2009,Administrative,28854.0,7.72343996502083
035510101,2009,Autres,0.0,
035510101,2009,Bornes Fontaines,700.0,0.472312375976606
035510101,2009,Industrielle,936.0,0.250542032552142
035510101,2009,Population branchée,85011.0,37.7184599795906
035510101,2010,Administrative,22229.0,5.96360744924059
035510101,2010,Autres,0.0,
035510101,2010,Bornes Fontaines,0.0,0.0
035510101,2010,Industrielle,989.0,0.265329424054116
035510101,2010,Population branchée,79628.0,34.5853796099535
035510101,2011,Administrative,26573.0,7.14519499458989
035510101,2011,Autres,0.0,
035510101,2011,Bornes Fontaines,0.0,0.0
035510101,2011,Industrielle,1265.0,0.340144946681075
035510101,2011,Population branchée,82593.0,35.4011920145584
035510101,2012,Administrative,28234.0,7.60904729029579
035510101,2012,Autres,550.0,
035510101,2012,Bornes Fontaines,0.0,0.0
035510101,2012,Industrielle,1224.0,0.329867318953108
035510101,2012,Population branchée,86410.0,36.82938843947
035510101,2013,Administrative,32009.0,8.64598254513842
035510101,2013,Autres,0.0,
035510101,2013,Bornes Fontaines,0.0,0.0
035510101,2013,Industrielle,592.0,0.159905703605922
035510101,2013,Population branchée,89753.0,38.0232045537007
035510101,2014,Administrative,26240.0,7.10379554929882
035510101,2014,Autres,0.0,
035510101,2014,Bornes Fontaines,0.0,0.0
035510101,2014,Industrielle,255.0,0.0690345985164329
035510101,2014,Population branchée,91551.0,38.6752132529363
035510101,2015,Administrative,23152.0,6.3578236213002
035510101,2015,Autres,0.0,
035510101,2015,Bornes Fontaines,0.0,0.0
035510101,2015,Industrielle,5.0,0.00137306142477976
035510101,2015,Population branchée,89638.0,38.133239141925
035510101,2016,Administrative,37553.0,10.4606323292419
035510101,2016,Autres,0.0,
035510101,2016,Bornes Fontaines,0.0,0.0
035510101,2016,Industrielle,7.0,0.00194989551579617
035510101,2016,Population branchée,89081.0,37.7705500623522
035510101,2017,Administrative,38765.0,10.953336439945
035510101,2017,Autres,0.0,
035510101,2017,Bornes Fontaines,0.0,0.0
035510101,2017,Industrielle,13.0,0.00367324580728197
035510101,2017,Population branchée,95492.0,40.3988600677039
035510101,2018,Administrative,40266.0,11.540867825252
035510101,2018,Autres,0.0,
035510101,2018,Bornes Fontaines,0.0,0.0
035510101,2018,Industrielle,7.0,0.0020063099085274
035510101,2018,Population branchée,92952.0,38.6945615358441
035510101,2019,Administrative,49687.0,14.4456168774591
035510101,2019,Autres,0.0,
035510101,2019,Bornes Fontaines,0.0,0.0
035510101,2019,Industrielle,9.0,0.00261659089695759
035510101,2019,Population branchée,100216.0,41.7749782024132
035510101,2020,Administrative,40061.0,11.8143121517651
035510101,2020,Autres,0.0,
035510101,2020,Bornes Fontaines,0.0,0.0
035510101,2020,Industrielle,11.0,0.00324398875887812
035510101,2020,Population branchée,110313.0,45.9256933202147
035510101,2021,Administrative,43382.0,12.9774559740058
035510101,2021,Autres,0.0,
035510101,2021,Bornes Fontaines,0.0,0.0
035510101,2021,Industrielle,25.0,0.00747859479392709
035510101,2021,Population branchée,109643.0,34.4361331385322
035510101,2022,Administrative,44171.0,13.4032637709925
035510101,2022,Autres,0.0,
035510101,2022,Bornes Fontaines,0.0,0.0
035510101,2022,Industrielle,5.0,0.00151720175805308
035510101,2022,Population branchée,130630.0,40.3900609469973
035510101,2023,Administrative,41177.0,12.6742238722566
035510101,2023,Autres,0.0,
035510101,2023,Bornes Fontaines,0.0,0.0
035510101,2023,Industrielle,3527.0,1.08560574100709
035510101,2023,Population branchée,138256.0,43.2102557962748
035510101,2024,Administrative,,
035510101,2024,Autres,,
035510101,2024,Bornes Fontaines,,
035510101,2024,Industrielle,,
035510101,2024,Population branchée,,
035510103,1994,Administrative,9177.0,3.57137297633873
035510103,1994,Autres,0.0,
035510103,1994,Bornes Fontaines,12.0,0.0341044733700902
035510103,1994,Industrielle,6394.0,2.48832503113325
035510103,1994,Population branchée,69650.0,31.4058455905562
035510103,1995,Administrative,7727.0,3.00499778989446
035510103,1995,Autres,0.0,
035510103,1995,Bornes Fontaines,0.0,0.0
035510103,1995,Industrielle,3536.0,1.37513552285063
035510103,1995,Population branchée,66619.0,30.3432994064247
035510103,1996,Administrative,10264.0,3.98885873716896
035510103,1996,Autres,0.0,
035510103,1996,Bornes Fontaines,1.0,0.00277536855770118
035510103,1996,Industrielle,1920.0,0.746162195573306
035510103,1996,Population branchée,67727.0,30.6061684812969
035510103,1997,Administrative,11301.0,4.38881885606164
035510103,1997,Autres,0.0,
035510103,1997,Bornes Fontaines,38.0,0.0992588252901529
035510103,1997,Industrielle,1632.0,0.633798103981293
035510103,1997,Population branchée,66318.0,30.2529750622042
035510103,1998,Administrative,16579.0,6.43410110459971
035510103,1998,Autres,0.0,
035510103,1998,Bornes Fontaines,1229.0,3.20153009764707
035510103,1998,Industrielle,1868.0,0.724947274467233
035510103,1998,Population branchée,71751.0,32.7202805491064
035510103,1999,Administrative,15652.0,6.07013230410264
035510103,1999,Autres,0.0,
035510103,1999,Bornes Fontaines,0.0,0.0
035510103,1999,Industrielle,1728.0,0.670150052484626
035510103,1999,Population branchée,77624.0,35.4780207000674
035510103,2000,Administrative,18463.0,7.15532485591637
035510103,2000,Autres,0.0,
035510103,2000,Bornes Fontaines,0.0,0.0
035510103,2000,Industrielle,3542.0,1.37270002922904
035510103,2000,Population branchée,84046.0,37.7410982016394
035510103,2001,Administrative,17715.0,6.86067759646717
035510103,2001,Autres,0.0,
035510103,2001,Bornes Fontaines,0.0,0.0
035510103,2001,Industrielle,602.0,0.233142981262954
035510103,2001,Population branchée,86764.0,37.5584232742101
035510103,2002,Administrative,18425.0,7.13069924141815
035510103,2002,Autres,0.0,
035510103,2002,Bornes Fontaines,0.0,0.0
035510103,2002,Industrielle,1591.0,0.61573636326167
035510103,2002,Population branchée,80968.0,35.0848184465481
035510103,2003,Administrative,24755.0,9.57384344761615
035510103,2003,Autres,0.0,
035510103,2003,Bornes Fontaines,0.0,0.0
035510103,2003,Industrielle,2336.0,0.90343358083746
035510103,2003,Population branchée,89490.0,38.3101548039136
035510103,2004,Administrative,26585.0,10.2744556973277
035510103,2004,Autres,0.0,
035510103,2004,Bornes Fontaines,0.0,0.0
035510103,2004,Industrielle,1558.0,0.602129094468181
