id_oper,pop_1994,pop_2004,pop_2014,pop_2024
NM1D99,18032.0,16393.0,12994,11311
NM1A29,12584.0,12161.0,11166,9624
NM4C29,8699.0,10156.0,11118,11877
NM4A49,6765.0,7173.0,7711,10039
NM4B19,13415.0,15035.0,16081,3763
NM1A59,12897.0,14876.0,16308,17182
NM4A29,6610.0,8949.0,10237,12703
NM4A19,8818.0,10995.0,12997,17125
NM1D19,9991.0,8678.0,7335,6925
NM4A39,9743.0,10739.0,12250,18854
NM1A49,10438.0,22426.0,12608,13409
NM1D69,12938.0,12266.0,12484,12961
NM1A89,14841.0,15890.0,16366,19480
NM1D49,6157.0,5588.0,5358,5028
NM4B39,6704.0,7402.0,8036,8733
NM1A79,11623.0,12362.0,12632,12582
NM1A99,14570.0,16903.0,14965,13592
NM4B29,6964.0,7434.0,7823,8699
NM1A69,13175.0,13142.0,13049,12855
NM1A19,11434.0,11005.0,9527,8657
NM1A39,18985.0,20930.0,23223,25289
NM2E45,10367.0,11851.0,11978,10368
NM2F35,,2321.0,3394,4852
NM2E65,13056.0,13113.0,13139,11479
NM2E35,,1510.0,1167,1156
NM2E55,18198.0,17126.0,16106,14594
NM3C65,12248.0,13627.0,12801,12123
NM2F15,19986.0,20782.0,19169,4112
NM2F25,11740.0,13046.0,12621,11673
NM2E15,,3830.0,4438,4662
NM2E49,10367.0,11851.0,11978,10368
NM2E69,13056.0,13113.0,13139,11479
NM2E59,18198.0,17126.0,16106,14594
NM2F00,8695.0,8110.0,6973,6226
NM3C69,12248.0,13627.0,12801,12123
NM2F49,11023.0,11260.0,10528,9671
NM2F19,19986.0,20782.0,19169,4112
NM2F29,11740.0,13046.0,12621,11673
