centre_id,pop_1994,pop_2004
0528109053,,12994.0
0528109072,,15769.0
0528109073,,5693.0
0528109092,,12701.0
0528109093,,3140.0
052810911,13383.0,15990.0
052810913,30112.0,36125.0
052810915,21152.0,22416.0
054810101,5403.0,6011.0
054810103,4296.0,5051.0
054810105,10187.0,20581.0
054810107,23876.0,27630.0
054810109,52168.0,57972.0
054810111,67622.0,74062.0
054810301,23930.0,24521.0
054810303,10014.0,8480.0
0548103052,,12963.0
0548103053,,7936.0
054810307,19453.0,20187.0
054810309,8835.0,8871.0
054810311,11512.0,11076.0
054810313,9248.0,8901.0
054810315,11491.0,11868.0
054810317,15796.0,16001.0
054810319,7525.0,7382.0
054810321,11437.0,14108.0
054810501,17153.0,17119.0
054810503,24681.0,27836.0
054810505,14157.0,15307.0
054810507,20552.0,22639.0
054810509,20984.0,22941.0
054810511,24418.0,26800.0
054810701,17799.0,17512.0
0548107032,,14578.0
0548107033,,2321.0
054810705,18198.0,17126.0
054810707,8695.0,8110.0
054810709,12248.0,13627.0
054810711,10248.0,10413.0
054810713,11023.0,11260.0
054810715,19986.0,20782.0
054810717,11740.0,13046.0
054810719,15748.0,16070.0
054810901,8081.0,8042.0
054810903,11047.0,11252.0
054810905,11522.0,10618.0
054810907,9768.0,9686.0
054810909,6883.0,6994.0
054810911,9228.0,9526.0
0548109132,,8326.0
0548109133,,6707.0
061110101,36977.0,46478.0
061110103,21327.0,27028.0
061110301,12473.0,12841.0
061110303,7412.0,7741.0
061110305,8181.0,9796.0
061110307,13334.0,14257.0
061110309,8096.0,8185.0
061110311,9306.0,9066.0
061110313,5288.0,5056.0
061110315,9129.0,9642.0
061110317,4874.0,4348.0
061110319,13070.0,12389.0
061110501,8654.0,5195.0
061110503,8480.0,12955.0
061110504,6196.0,6370.0
061110505,7503.0,8265.0
063110101,33321.0,40513.0
063110103,14319.0,15041.0
063110105,11263.0,10284.0
063110107,152090.0,166397.0
063110109,73953.0,83970.0
063110301,4024.0,5008.0
063110303,6968.0,5660.0
063110305,7023.0,7084.0
063110307,4908.0,5694.0
063110309,9087.0,8113.0
063110311,3594.0,3094.0
063110313,4936.0,4720.0
063110315,6627.0,3417.0
063110501,7661.0,6604.0
063110503,10252.0,9553.0
0631105052,,3267.0
0631105053,,10469.0
063110507,9609.0,8250.0
063110509,4997.0,4211.0
063110511,6907.0,5619.0
063110513,11260.0,14690.0
063110515,10072.0,9434.0
063110701,5769.0,4594.0
063110703,8592.0,7766.0
063110705,7653.0,7334.0
063110707,9077.0,8699.0
063110709,7637.0,7338.0
063110711,8062.0,6283.0
063110713,6149.0,6148.0
063110715,8927.0,8661.0
063110717,9273.0,8465.0
063110719,3076.0,2764.0
064610101,19135.0,21361.0
064610103,54781.0,89830.0
064610105,13798.0,16222.0
064610107,15822.0,18070.0
064610109,4292.0,5025.0
064610111,10019.0,10748.0
064610113,8950.0,9166.0
064610115,96217.0,116570.0
064610301,11770.0,13074.0
064610303,9239.0,9385.0
064610305,7506.0,7160.0
064610307,9467.0,8673.0
064610309,11836.0,11249.0
064610311,9718.0,8876.0
064610313,9492.0,8827.0
064610315,11376.0,11503.0
064610317,7808.0,7126.0
064610319,7452.0,7925.0
064610321,11899.0,11961.0
064610323,11813.0,10844.0
